city,state,population_2024_estimate,population_year,scraped_date,data_source,median_home_value,price_year_month,price_source
New York,NY,8478072,2024,2025-12-22,Wikipedia – List of United States cities by population,793962.721186909,2025-11-30,Zillow ZHVI (City)
Los Angeles,CA,3878704,2024,2025-12-22,Wikipedia – List of United States cities by population,921788.7574907336,2025-11-30,Zillow ZHVI (City)
Chicago,IL,2721308,2024,2025-12-22,Wikipedia – List of United States cities by population,305458.784488989,2025-11-30,Zillow ZHVI (City)
Houston,TX,2390125,2024,2025-12-22,Wikipedia – List of United States cities by population,261052.2485702269,2025-11-30,Zillow ZHVI (City)
Phoenix,AZ,1673164,2024,2025-12-22,Wikipedia – List of United States cities by population,403316.8568164257,2025-11-30,Zillow ZHVI (City)
Philadelphia,PA,1573916,2024,2025-12-22,Wikipedia – List of United States cities by population,228620.65303421216,2025-11-30,Zillow ZHVI (City)
San Antonio,TX,1526656,2024,2025-12-22,Wikipedia – List of United States cities by population,245985.15922716787,2025-11-30,Zillow ZHVI (City)
San Diego,CA,1404452,2024,2025-12-22,Wikipedia – List of United States cities by population,968817.0115238166,2025-11-30,Zillow ZHVI (City)
Dallas,TX,1326087,2024,2025-12-22,Wikipedia – List of United States cities by population,302721.06455016346,2025-11-30,Zillow ZHVI (City)
Jacksonville,FL,1009833,2024,2025-12-22,Wikipedia – List of United States cities by population,280095.94084178127,2025-11-30,Zillow ZHVI (City)
Fort Worth,TX,1008106,2024,2025-12-22,Wikipedia – List of United States cities by population,292665.5662663754,2025-11-30,Zillow ZHVI (City)
San Jose,CA,997368,2024,2025-12-22,Wikipedia – List of United States cities by population,1377506.0350172042,2025-11-30,Zillow ZHVI (City)
Austin,TX,993588,2024,2025-12-22,Wikipedia – List of United States cities by population,490209.30981528806,2025-11-30,Zillow ZHVI (City)
Charlotte,NC,943476,2024,2025-12-22,Wikipedia – List of United States cities by population,393099.3433422051,2025-11-30,Zillow ZHVI (City)
Columbus,OH,933263,2024,2025-12-22,Wikipedia – List of United States cities by population,241744.1804126985,2025-11-30,Zillow ZHVI (City)
Indianapolis,IN,891484,2024,2025-12-22,Wikipedia – List of United States cities by population,226477.0747691583,2025-11-30,Zillow ZHVI (City)
San Francisco,CA,827526,2024,2025-12-22,Wikipedia – List of United States cities by population,1245215.4630743903,2025-11-30,Zillow ZHVI (City)
Seattle,WA,780995,2024,2025-12-22,Wikipedia – List of United States cities by population,837799.852225263,2025-11-30,Zillow ZHVI (City)
