city,state,population_2024_estimate,population_year,scraped_date,data_source
New York,NY,8478072,2024,2025-12-22,Wikipedia – List of United States cities by population
Los Angeles,CA,3878704,2024,2025-12-22,Wikipedia – List of United States cities by population
Chicago,IL,2721308,2024,2025-12-22,Wikipedia – List of United States cities by population
Houston,TX,2390125,2024,2025-12-22,Wikipedia – List of United States cities by population
Phoenix,AZ,1673164,2024,2025-12-22,Wikipedia – List of United States cities by population
Philadelphia,PA,1573916,2024,2025-12-22,Wikipedia – List of United States cities by population
San Antonio,TX,1526656,2024,2025-12-22,Wikipedia – List of United States cities by population
San Diego,CA,1404452,2024,2025-12-22,Wikipedia – List of United States cities by population
Dallas,TX,1326087,2024,2025-12-22,Wikipedia – List of United States cities by population
Jacksonville,FL,1009833,2024,2025-12-22,Wikipedia – List of United States cities by population
Fort Worth,TX,1008106,2024,2025-12-22,Wikipedia – List of United States cities by population
San Jose,CA,997368,2024,2025-12-22,Wikipedia – List of United States cities by population
Austin,TX,993588,2024,2025-12-22,Wikipedia – List of United States cities by population
Charlotte,NC,943476,2024,2025-12-22,Wikipedia – List of United States cities by population
Columbus,OH,933263,2024,2025-12-22,Wikipedia – List of United States cities by population
Indianapolis,IN,891484,2024,2025-12-22,Wikipedia – List of United States cities by population
San Francisco,CA,827526,2024,2025-12-22,Wikipedia – List of United States cities by population
Seattle,WA,780995,2024,2025-12-22,Wikipedia – List of United States cities by population
Denver,CO,729019,2024,2025-12-22,Wikipedia – List of United States cities by population
Oklahoma City,OK,712919,2024,2025-12-22,Wikipedia – List of United States cities by population
Nashville,TN,704963,2024,2025-12-22,Wikipedia – List of United States cities by population
Washington,DC,702250,2024,2025-12-22,Wikipedia – List of United States cities by population
El Paso,TX,681723,2024,2025-12-22,Wikipedia – List of United States cities by population
Las Vegas,NV,678922,2024,2025-12-22,Wikipedia – List of United States cities by population
Boston,MA,673458,2024,2025-12-22,Wikipedia – List of United States cities by population
Detroit,MI,645705,2024,2025-12-22,Wikipedia – List of United States cities by population
Louisville,KY,640796,2024,2025-12-22,Wikipedia – List of United States cities by population
Portland,OR,635749,2024,2025-12-22,Wikipedia – List of United States cities by population
Memphis,TN,610919,2024,2025-12-22,Wikipedia – List of United States cities by population
Baltimore,MD,568271,2024,2025-12-22,Wikipedia – List of United States cities by population
Milwaukee,WI,563531,2024,2025-12-22,Wikipedia – List of United States cities by population
Albuquerque,NM,560326,2024,2025-12-22,Wikipedia – List of United States cities by population
Tucson,AZ,554013,2024,2025-12-22,Wikipedia – List of United States cities by population
Fresno,CA,550105,2024,2025-12-22,Wikipedia – List of United States cities by population
Sacramento,CA,535798,2024,2025-12-22,Wikipedia – List of United States cities by population
Atlanta,GA,520070,2024,2025-12-22,Wikipedia – List of United States cities by population
Mesa,AZ,517151,2024,2025-12-22,Wikipedia – List of United States cities by population
Kansas City,MO,516032,2024,2025-12-22,Wikipedia – List of United States cities by population
Raleigh,NC,499825,2024,2025-12-22,Wikipedia – List of United States cities by population
