city,state,population_2024_estimate,population_year,scraped_date,data_source,median_home_value,price_year_month,price_source,city_size_category,home_value_per_capita,log_home_value,log_population,rank_cheapest_in_segment,rank_most_expensive_in_segment,below_segment_median_price
Detroit,MI,645705,2024,2025-12-22,Wikipedia – List of United States cities by population,76340.01348574048,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.1182273847743791,4.882752232332783,5.81003414936697,1.0,27.0,True
Memphis,TN,610919,2024,2025-12-22,Wikipedia – List of United States cities by population,143363.2829518921,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.2346682341716202,5.156437937571721,5.78598363219837,2.0,26.0,True
Baltimore,MD,568271,2024,2025-12-22,Wikipedia – List of United States cities by population,186123.2686665506,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.3275255444436732,5.269800670937207,5.754555493698554,3.0,25.0,True
Oklahoma City,OK,712919,2024,2025-12-22,Wikipedia – List of United States cities by population,202976.03599854768,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.2847112168402689,5.307444766741103,5.853040189246864,4.0,24.0,True
Milwaukee,WI,563531,2024,2025-12-22,Wikipedia – List of United States cities by population,213912.7700626565,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.3795936160790737,5.330236711650545,5.750917811701783,5.0,23.0,True
Indianapolis,IN,891484,2024,2025-12-22,Wikipedia – List of United States cities by population,226477.0747691583,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.2540450246657913,5.355024246944218,5.950113553036818,6.0,22.0,True
El Paso,TX,681723,2024,2025-12-22,Wikipedia – List of United States cities by population,229646.3108980382,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.3368616151986044,5.361059473183101,5.833607946491608,7.0,21.0,True
Columbus,OH,933263,2024,2025-12-22,Wikipedia – List of United States cities by population,241744.1804126985,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.2590311417174992,5.383356027966731,5.970004048198066,8.0,20.0,True
Kansas City,MO,516032,2024,2025-12-22,Wikipedia – List of United States cities by population,241959.67824952005,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.4688850269935198,5.383742998324357,5.71267663378324,9.0,19.0,True
Louisville,KY,640796,2024,2025-12-22,Wikipedia – List of United States cities by population,251363.2603966976,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.392267212024884,5.400301800903693,5.8067197921158975,10.0,18.0,True
Tucson,AZ,554013,2024,2025-12-22,Wikipedia – List of United States cities by population,321510.060611714,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.5803294518571117,5.507194567306245,5.743519955634611,11.0,17.0,True
Albuquerque,NM,560326,2024,2025-12-22,Wikipedia – List of United States cities by population,336594.9453692512,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.6007127018365223,5.527107589908597,5.748440774876189,12.0,16.0,True
Fresno,CA,550105,2024,2025-12-22,Wikipedia – List of United States cities by population,381951.9361745203,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.6943255127194268,5.582008715876407,5.740445592345768,13.0,15.0,True
