city,state,population_2024_estimate,population_year,scraped_date,data_source,median_home_value,price_year_month,price_source,city_size_category,home_value_per_capita,log_home_value,log_population,rank_cheapest_in_segment,rank_most_expensive_in_segment,below_segment_median_price
Detroit,MI,645705,2024,2025-12-22,Wikipedia – List of United States cities by population,76340.01348574048,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.1182273847743791,4.882752232332783,5.81003414936697,1.0,27.0,True
Jackson,MS,141449,2024,2025-12-22,Wikipedia – List of United States cities by population,81322.86193082952,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.5749270898403631,4.910212654015386,5.15059988147829,1.0,302.0,True
Cleveland,OH,365379,2024,2025-12-22,Wikipedia – List of United States cities by population,111917.08389550356,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.3063040949137842,5.048896385681497,5.562743582846283,2.0,301.0,True
Toledo,OH,265638,2024,2025-12-22,Wikipedia – List of United States cities by population,126351.92153964924,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.4756545431739782,5.101581850986609,5.424290201757163,3.0,300.0,True
Peoria,IL,111696,2024,2025-12-22,Wikipedia – List of United States cities by population,127324.74862812612,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.1399221872594016,5.104912827439808,5.048037620662317,4.0,299.0,True
Shreveport,LA,176578,2024,2025-12-22,Wikipedia – List of United States cities by population,132659.1170663321,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.751277719004248,5.122737102456584,5.2469365935010215,5.0,298.0,True
Birmingham,AL,196357,2024,2025-12-22,Wikipedia – List of United States cities by population,132724.73140922678,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.6759358281559953,5.122951855146299,5.293046388199687,6.0,297.0,True
Dayton,OH,136346,2024,2025-12-22,Wikipedia – List of United States cities by population,133564.53476546865,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.9795999498736204,5.125691155741622,5.134642401511904,7.0,296.0,True
Akron,OH,189664,2024,2025-12-22,Wikipedia – List of United States cities by population,135023.05134920368,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.7119065892800093,5.130407918266545,5.277984905558924,8.0,295.0,True
Memphis,TN,610919,2024,2025-12-22,Wikipedia – List of United States cities by population,143363.2829518921,2025-11-30,Zillow ZHVI (City),Large (500k–1M),0.2346682341716202,5.156437937571721,5.78598363219837,2.0,26.0,True
Montgomery,AL,195818,2024,2025-12-22,Wikipedia – List of United States cities by population,146126.81434866402,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.7462379063654211,5.164729916517005,5.291852610558906,9.0,294.0,True
Lansing,MI,114336,2024,2025-12-22,Wikipedia – List of United States cities by population,159352.2683099522,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.3937191113031084,5.20235824984605,5.058182994522346,10.0,293.0,True
Springfield,IL,112949,2024,2025-12-22,Wikipedia – List of United States cities by population,160106.10409173754,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.4175079380228026,5.204407889838246,5.052882390224028,11.0,292.0,True
Beaumont,TX,112893,2024,2025-12-22,Wikipedia – List of United States cities by population,166524.5154460375,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.4750650212682583,5.2214781786182325,5.05266701406295,12.0,291.0,True
Macon,GA,157056,2024,2025-12-22,Wikipedia – List of United States cities by population,166561.035525153,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.0605200407826063,5.221573412223268,5.196054532374872,13.0,290.0,True
Columbus,GA,201830,2024,2025-12-22,Wikipedia – List of United States cities by population,168271.72537087358,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.833729997378356,5.226011147782059,5.304985720206672,14.0,289.0,True
Wichita Falls,TX,102372,2024,2025-12-22,Wikipedia – List of United States cities by population,168945.03998989656,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.6503051614689228,5.227745445968041,5.010181188003777,15.0,288.0,True
Rockford,IL,147486,2024,2025-12-22,Wikipedia – List of United States cities by population,170161.72976306625,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.1537483541696585,5.230861891696837,5.168750797186635,16.0,287.0,True
Augusta,GA,201737,2024,2025-12-22,Wikipedia – List of United States cities by population,172036.1581759411,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),0.8527744448263883,5.235619735546673,5.304785558213585,17.0,286.0,True
Davenport,IA,100938,2024,2025-12-22,Wikipedia – List of United States cities by population,182858.1570487979,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),1.811588866916304,5.262114338380741,5.004054695309804,18.0,285.0,True
