city,state,population_2024_estimate,population_year,scraped_date,data_source,median_home_value,price_year_month,price_source,city_size_category,home_value_per_capita,log_home_value,log_population,rank_cheapest_in_segment,rank_most_expensive_in_segment,below_segment_median_price
Sunnyvale,CA,156792,2024,2025-12-22,Wikipedia – List of United States cities by population,2000319.24716143,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),12.757788963476644,6.301099313772013,5.195323899901418,302.0,1.0,False
Santa Clara,CA,133132,2024,2025-12-22,Wikipedia – List of United States cities by population,1663152.1776662162,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),12.492505015069376,6.2209319887847725,5.124282456324218,301.0,2.0,False
San Mateo,CA,103006,2024,2025-12-22,Wikipedia – List of United States cities by population,1577936.4276076143,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),15.318878779950822,6.1980895022350175,5.012862522676029,300.0,3.0,False
Irvine,CA,318683,2024,2025-12-22,Wikipedia – List of United States cities by population,1500918.9936056498,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),4.709755442259706,6.176357253482832,5.503358896849602,299.0,4.0,False
Fremont,CA,228192,2024,2025-12-22,Wikipedia – List of United States cities by population,1468744.1759652102,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),6.436440260680524,6.166946157504365,5.358300414767749,298.0,5.0,False
Bellevue,WA,154377,2024,2025-12-22,Wikipedia – List of United States cities by population,1446855.280563446,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),9.372220476906833,6.160425093665068,5.188582597054509,297.0,6.0,False
Carlsbad,CA,113575,2024,2025-12-22,Wikipedia – List of United States cities by population,1405512.2159447016,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),12.375190102968975,6.147834624610353,5.055282745486664,296.0,7.0,False
San Jose,CA,997368,2024,2025-12-22,Wikipedia – List of United States cities by population,1377506.0350172042,2025-11-30,Zillow ZHVI (City),Large (500k–1M),1.3811411986520563,6.1390935102235895,5.998855430007906,27.0,1.0,False
Berkeley,CA,121749,2024,2025-12-22,Wikipedia – List of United States cities by population,1336866.0911316231,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),10.980509828677222,6.126087907789176,5.085465402771555,295.0,8.0,False
Costa Mesa,CA,109131,2024,2025-12-22,Wikipedia – List of United States cities by population,1336022.100989626,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),12.242370188027472,6.125813642464713,5.03794813479159,294.0,9.0,False
Huntington Beach,CA,193151,2024,2025-12-22,Wikipedia – List of United States cities by population,1289642.6302375442,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),6.676862300674313,6.110469380672961,5.285896960957969,293.0,10.0,False
San Francisco,CA,827526,2024,2025-12-22,Wikipedia – List of United States cities by population,1245215.4630743903,2025-11-30,Zillow ZHVI (City),Large (500k–1M),1.5047448214006451,6.095244505108923,5.91778164773977,26.0,2.0,False
Pasadena,CA,137195,2024,2025-12-22,Wikipedia – List of United States cities by population,1159778.420622951,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),8.453503557877116,6.064375023802124,5.137338284023953,292.0,11.0,False
Burbank,CA,103533,2024,2025-12-22,Wikipedia – List of United States cities by population,1155801.1154960406,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),11.163601127138598,6.06288310928034,5.015078798426963,291.0,12.0,False
Glendale,CA,187823,2024,2025-12-22,Wikipedia – List of United States cities by population,1149220.679084937,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),6.118636583831251,6.060403432088164,5.273748773028429,290.0,13.0,False
Torrance,CA,139576,2024,2025-12-22,Wikipedia – List of United States cities by population,1146363.352336443,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),8.213183873563098,6.059322293812475,5.144810748060537,289.0,14.0,False
Orange,CA,137941,2024,2025-12-22,Wikipedia – List of United States cities by population,1086358.2596142986,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),7.8755283752785505,6.035973070663018,5.139693370071856,288.0,15.0,False
Daly City,CA,101418,2024,2025-12-22,Wikipedia – List of United States cities by population,1071227.231945154,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),10.562496124407442,6.0298816044568895,5.006115041850504,287.0,16.0,False
Cambridge,MA,121186,2024,2025-12-22,Wikipedia – List of United States cities by population,1017851.9744461124,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),8.399088792815279,6.007684623427466,5.083452450903404,286.0,17.0,False
Thousand Oaks,CA,124229,2024,2025-12-22,Wikipedia – List of United States cities by population,1012667.9621542242,2025-11-30,Zillow ZHVI (City),Medium (100k–500k),8.151622907326182,6.005467070392429,5.094222989317429,285.0,18.0,False
